type,id,lat,lon,brand,shop,city,street,housenumber,postcode
node,7047347644,47.4401098,8.2056331,Denner,supermarket,Lupfig,Flachsacherstrasse,1,5242
node,7051356516,46.4234821,8.1596145,Volg,supermarket,Bellwald,Bielweg,1,3997
node,7057953967,47.1957464,8.529978700000001,Denner,supermarket,Baar,Oberdorstrasse,6a,6340
node,7085739339,47.3645244,8.5539732,Alnatura,supermarket,Zürich,Kreuzplatz,20,8008
node,7128726985,47.3924303,8.5155148,Lidl,supermarket,Zürich,Förrlibuckstrasse,62,8005
node,7179247189,47.0488498,8.2627786,Denner,supermarket,Luzern,Grossmatte,2,6014
node,7191052477,47.3248295,8.203642,VOI Migros Partner,supermarket,Seengen,Unterdorfstrasse,7a,5707
node,7273789095,46.1549297,8.9657736,Coop,supermarket,Sant'Antonino,Via Serrai,4,6592
node,7299717750,47.0153632,8.6474974,Denner,supermarket,Ibach,Mythencenterstrasse,16,6438
node,7380954135,47.5173965,8.6498136,Migros,supermarket,Pfungen,Weiacherstrasse,1,8422
node,7389830912,47.0489528,8.6128461,Denner,supermarket,Steinen,Hofstatt,3,6422
node,7389830915,47.2250563,8.9706499,Denner,supermarket,Uznach,Burgerfeldstrasse,15,8730
node,7389830917,47.150518,9.0204516,Denner,supermarket,Bilten,Hauptstrasse,8,8865
node,7389830919,46.9653834,8.3555724,Denner,supermarket,Stans,Bitzistrasse,2,6370
node,7389830920,46.9702546,8.4661373,Denner,supermarket,Beckenried,Dorfstrasse,87,6375
node,7389830921,46.8732428,8.650783,Denner,supermarket,Altdorf UR,Grundgasse,2,6460
node,7389830923,46.9001328,8.2482628,Denner,supermarket,Sarnen,Pilatusstrasse,10,6060
node,7389830924,47.2412454,8.1869176,Denner,supermarket,Menziken,Sagiweg,6,5737
node,7390289540,47.0936014,8.3575307,Migros,supermarket,Ebikon,Ebisquare-Strasse,1,6030
node,7390289541,47.0813405,8.3410776,Migros,supermarket,Ebikon,Zentralstrasse,16,6030
node,7390289542,47.1775933,8.5053769,Migros,supermarket,Zug,Hertizentrum,10,6300
node,7390289543,47.1757272,8.7130911,Migros,supermarket,Schindellegi,Pfäffikonerstrasse,19,8834
node,7390289544,46.8727406,8.651044,Migros,supermarket,Altdorf UR,Gotthardstrasse,67,6460
node,7395144121,47.1787445,8.5883883,Coop,supermarket,Menzingen,Carmelweg,1,6313
node,7395144124,47.0521569,8.3039971,Coop,supermarket,Luzern,Rössligasse,20,6000
